â„–,wallet,ETH,USDC,USDT,DAI,Volume,TX Count,Contracts,Bridge to / from,Days,Weeks,Months,Total gas spent,First tx,Last tx
1,0x03C0781b577a5F6691d5D0090b458F07eAD3C0BDe6D9F6126ED536eB6AC2a272,0.0266 ($51.90),1.04,0.00,0.00,$6906.60,41,7,1 / 0,5,4,3,0.0073 ($14.36),08.09.23,19.11.23
2,0x03633b254Fa0837Be66f5C584a79d2108474a9B49059fe5e723fd6A2617E2267,0.0077 ($15.06),0.00,0.00,0.00,$4684.69,20,4,0 / 0,5,5,3,0.0023 ($4.52),13.09.23,19.11.23
3,0x06BB0F45D83Ea8fdedA20661C9c23b37b2cD10CC256467C39D8172e8bA058367,0.0112 ($21.98),0.00,0.00,0.00,$5487.45,17,5,0 / 0,5,5,3,0.0021 ($4.11),13.09.23,19.11.23
4,0x06a4B31F83a3006A81e41bF203b78E284bc0744e68cf2f7aE5a927a222BE5b67,0.0134 ($26.24),0.00,0.00,0.00,$5203.25,17,5,0 / 0,5,4,2,0.0023 ($4.56),14.09.23,21.10.23
5,0x01ea7ac4a091a202B4c2D1B93b799e84Fd0F24E6A364584B421b0981d6E631F6,0.0087 ($17.07),0.00,0.00,0.00,$4188.08,21,9,0 / 0,4,3,2,0.0031 ($6.06),14.09.23,28.10.23
6,0x0034a76d724c0FB51f4F8E5A9c8eF387C177CF9a3E45c0Da05aD7156215e2c4b,0.0052 ($10.15),0.00,0.00,0.00,$5298.32,29,8,0 / 0,3,3,2,0.0031 ($6.15),16.09.23,28.10.23
7,0x025F1Ecc4fb1DDAd1859e4a9AB2CC57a16e6C1CAD591949599f15F060DCb3c21,0.0137 ($26.82),0.00,0.00,0.00,$5056.91,19,7,0 / 0,4,3,2,0.0021 ($4.14),16.09.23,28.10.23
8,0x03CD58246D2f1D54d2E0DDdB99Ed6DA968649b8e63B0f99B23Ade08550bc7363,0.0110 ($21.49),0.00,0.00,0.00,$6779.25,23,5,0 / 0,3,3,2,0.0031 ($6.10),16.09.23,28.10.23
9,0x0358e47A76A854eB304AC88915e96a4cd5c0F72bB429f71310141C4B3a24bAb6,0.0099 ($19.43),0.00,0.00,0.00,$4742.64,23,8,1 / 0,4,2,2,0.0028 ($5.43),17.09.23,04.10.23
10,0x03E0b672B9f33D4E9621Cc5B48F49A0469499b1B798e0EfC207c1Bb2220a3637,0.0075 ($14.60),0.00,0.00,0.00,$5926.67,23,11,1 / 0,6,5,3,0.0045 ($8.88),30.08.23,22.10.23
,,,,,,,,,,,,,,,
,Total,0.1150 ($224.73),1.04,0.00,0.00,,,,,,,,0.0329 ($64.30),,
