â„–,wallet,ETH,USDC,USDT,DAI,TX Count,Volume,Contracts,Bridge to / from,Days,Weeks,Months,First tx,Last tx,Total gas spent,Lite ETH,Lite TX,Lite last TX
1,0x23a8e59e260F25A5c38D16D7Da7deCaF8e439675,0.0122 ($23.79),0.00,0.00,0.00,58,$13252.87,25,3 / 3,16,13,6,23.04.23,17.10.23,0.0076 ($14.81),0.0010 ($1.96),15,13.09.23
2,0x6A014d1dEBE261892c38FdCa0CD99AD4321d7bEC,0.0029 ($5.66),0.00,0.00,0.00,57,$15786.99,23,0 / 0,3,3,2,16.09.23,17.10.23,0.0050 ($9.79),0.0010 ($1.96),12,24.09.23
3,0x281A9C6c23a11eA4f204aE70BA10bF1Fa2ed584e,0.0080 ($15.72),0.00,0.00,0.00,50,$15881.37,24,0 / 0,4,3,2,16.09.23,18.10.23,0.0053 ($10.30),0,0,
4,0x08b18332e491e59c141591d9ebf2da7de58112b4,0.0039 ($7.64),0.00,0.00,0.00,45,$12239.38,20,0 / 0,3,3,2,16.09.23,19.10.23,0.0042 ($8.19),0.0010 ($1.96),6,27.09.23
5,0x281287eed7161a069f0e9c1aea7092529a20e87a,0.0071 ($13.95),0.00,0.00,0.00,45,$13904.74,20,0 / 0,4,3,2,16.09.23,21.10.23,0.0052 ($10.16),0,0,
6,0xa52246FaeE01e5dcA5A84D03c9DcC90a2234Ee50,0.0057 ($11.14),0.00,0.00,0.00,45,$14750.98,20,0 / 0,3,3,2,13.09.23,21.10.23,0.0043 ($8.36),0.0010 ($1.96),6,13.09.23
7,0xDBe386569EEe351057611999D72B7d6BAdbc1F47,0.0084 ($16.44),0.00,0.00,0.00,47,$16087.82,18,0 / 0,4,3,2,13.09.23,21.10.23,0.0047 ($9.13),0.0010 ($1.96),4,21.10.23
8,0x4caf6eeafc8c3221c7627a83c952c26747b7bb17,0.0100 ($19.44),0.00,0.00,0.00,18,$6631.19,9,1 / 0,4,2,2,24.09.23,28.10.23,0.0016 ($3.18),0,0,
9,0x0A3bE3c01182Bd5B9221FBFce6d0C303B2eCccCA,0.0172 ($33.61),0.00,0.00,0.00,48,$12701.79,19,2 / 1,6,3,3,01.07.23,04.10.23,0.0055 ($10.83),0.0009 ($1.71),7,23.09.23
10,0x89bAD92ACd08f6e16c9E9628ce70a2CCbb05814D,0.0203 ($39.68),0.00,0.00,0.00,32,$15922.48,17,1 / 1,3,3,3,25.06.23,22.10.23,0.0038 ($7.45),0.0008 ($1.56),8,22.10.23
,,,,,,,,,,,,,,,,,,
,Total,0.0957 ($187.07),0.00,0.00,0.00,,,,,,,,,,0.0472 ($92.21),0.0067 ($13.06),,
